date,actual,fitted,forecast,segment
2026-04-04,240.0,224.14076133158568,224.14076133158568,history
2026-04-05,257.0,229.28046237336332,229.28046237336332,history
2026-04-06,476.0,493.0467348596336,493.0467348596336,history
2026-04-07,528.0,503.26373981546465,503.26373981546465,history
2026-04-08,514.0,494.43985605501524,494.43985605501524,history
2026-04-09,498.0,490.86393887379063,490.86393887379063,history
2026-04-10,500.0,498.09797098368256,498.09797098368256,history
2026-04-11,244.0,224.5733215375502,224.5733215375502,history
2026-04-12,216.0,229.71302263248685,229.71302263248685,history
2026-04-13,482.0,493.4792945013639,493.4792945013639,history
2026-04-14,490.0,503.69629954015625,503.69629954015625,history
2026-04-15,517.0,494.87241520701707,494.87241520701707,history
2026-04-16,516.0,491.2964980640503,491.2964980640503,history
2026-04-17,495.0,498.5305304357174,498.5305304357174,history
2026-04-18,216.0,225.00588090863369,225.00588090863369,history
2026-04-19,226.0,230.14558157989217,230.14558157989217,history
2026-04-20,506.0,493.91185359133516,493.91185359133516,history
2026-04-21,456.0,504.1288589813097,504.1288589813097,history
2026-04-22,492.0,495.30497413508544,495.30497413508544,history
2026-04-23,524.0,491.72905661314405,491.72905661314405,history
2026-04-24,476.0,498.96308909757477,498.96308909757477,history
2026-04-25,243.0,225.43843928092332,225.43843928092332,history
2026-04-26,229.0,230.57814034806756,230.57814034806756,history
2026-04-27,519.0,494.3444123977684,494.3444123977684,history
2026-04-28,537.0,504.56141797501243,504.56141797501243,history
2026-04-29,472.0,495.7375343293366,495.7375343293366,history
2026-04-30,518.0,492.16161650292634,492.16161650292634,history
2026-05-01,510.0,499.3956488915045,499.3956488915045,history
2026-05-02,191.0,225.87099957504688,225.87099957504688,history
2026-05-03,220.0,231.01069986088504,231.01069986088504,history
2026-05-04,495.0,494.77697177002983,494.77697177002983,history
2026-05-05,511.0,504.99397698320035,504.99397698320035,history
2026-05-06,467.0,496.17009294364874,496.17009294364874,history
2026-05-07,475.0,492.5941750362871,492.5941750362871,history
2026-05-08,487.0,499.8282067776697,499.8282067776697,history
2026-05-09,211.0,226.30355711203975,226.30355711203975,history
2026-05-10,236.0,231.44325768945555,231.44325768945555,history
2026-05-11,512.0,495.2095298305733,495.2095298305733,history
2026-05-12,475.0,505.42653529061795,505.42653529061795,history
2026-05-13,528.0,496.6026507081788,496.6026507081788,history
2026-05-14,460.0,493.0267337033423,493.0267337033423,history
2026-05-15,511.0,500.26076521476193,500.26076521476193,history
2026-05-16,217.0,226.7361159003142,226.7361159003142,history
2026-05-17,236.0,231.8758165606913,231.8758165606913,history
2026-05-18,508.0,495.6420886953634,495.6420886953634,history
2026-05-19,487.0,505.85909408935777,505.85909408935777,history
2026-05-20,494.0,497.03520967928694,497.03520967928694,history
2026-05-21,480.0,493.4592921613654,493.4592921613654,history
2026-05-22,495.0,500.69332396436255,500.69332396436255,history
2026-05-23,214.0,227.1686744050507,227.1686744050507,history
2026-05-24,247.0,232.30837501427874,232.30837501427874,history
2026-05-25,,,496.074647306418,forecast
2026-05-26,,,506.2916525162651,forecast
2026-05-27,,,497.4677683872167,forecast
2026-05-28,,,493.8918509145233,forecast
2026-05-29,,,501.12588291807947,forecast
2026-05-30,,,227.6012334436047,forecast
2026-05-31,,,232.7409342490613,forecast
2026-06-01,,,496.5072063222783,forecast
2026-06-02,,,506.7242115321254,forecast
2026-06-03,,,497.90032740307703,forecast
2026-06-04,,,494.3244099303836,forecast
2026-06-05,,,501.5584419339398,forecast
2026-06-06,,,228.03379245946502,forecast
2026-06-07,,,233.1734932649216,forecast
2026-06-08,,,496.93976533813856,forecast
2026-06-09,,,507.15677054798573,forecast
2026-06-10,,,498.33288641893733,forecast
2026-06-11,,,494.7569689462439,forecast
2026-06-12,,,501.9910009498001,forecast
2026-06-13,,,228.46635147532533,forecast
2026-06-14,,,233.6060522807819,forecast
